pl_name,disc_year,disc_pubdate,sy_dist,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_eqt,pl_insol,st_teff,st_mass,st_rad
HAT-P-19 b,2010,2011-01,202.07800000,Transit,4.00878420000,,,,,,4990.00,0.842000,0.820000
WASP-66 b,2012,2012-10,500.25800000,Transit,4.08605200000,0.0546000000,15.58100000,737.33500000,,,6580.00,1.300000,1.750000
Kepler-561 c,2016,2016-05,621.37800000,Transit,5.35016198300,0.0593000000,2.66000000,,989.00,226.0200,5592.00,0.973000,0.953000
Kepler-359 d,2014,2014-03,1443.21000000,Transit,77.08747473000,,,,,,5683.00,1.010000,0.923027
HAT-P-56 b,2015,2015-09,320.63900000,Transit,2.79082500000,,,,,,6566.00,1.296000,1.428000
Kepler-1949 b,2021,2022-02,2617.35000000,Transit,2.20829637000,0.0352000000,1.36000000,,1709.00,2016.2500,6028.00,1.194000,1.454000
Kepler-1443 b,2016,2016-05,593.64600000,Transit,2.41810661140,,,,,,6347.00,1.260000,1.577220
Kepler-319 d,2014,2014-03,503.43600000,Transit,,,2.00000000,,,17.9620,5599.00,,0.848000
K2-378 b,2022,2022-03,687.97300000,Transit,2.06036800000,,3.16000000,,,,,,0.727000
Kepler-1816 b,2021,2022-02,437.82300000,Transit,91.50092370000,0.3564700000,1.74800000,,,2.0000,4966.00,0.721000,0.677000
EPIC 212297394 b,2019,2019-07,418.39500000,Transit,2.28936300000,,1.48000000,,1149.00,,5171.00,0.830000,0.800000
Kepler-287 c,2014,2014-03,835.86000000,Transit,44.85189600000,0.2460000000,3.26000000,,,,5806.00,,1.032000
Kepler-1750 b,2021,2022-02,1497.33000000,Transit,205.91720000000,0.6780000000,4.80000000,,290.00,,5803.00,0.980000,0.870000
Kepler-1348 b,2016,2016-05,1213.82000000,Transit,27.57227420000,0.1716000000,1.48000000,,570.00,24.8900,5977.00,0.887000,0.801000
